Scenario,Lane,Avg Wait (s),Max Wait (s),Avg Queue,Max Queue,Throughput,Efficiency %
Rush Hour,N,710.01,1403.13,237.35,459.00,771,62.4%
Rush Hour,S,634.77,1320.64,215.35,451.00,774,63.0%
Rush Hour,E,714.58,1445.77,253.25,507.00,765,59.9%
Rush Hour,W,676.32,1335.94,228.95,457.00,765,62.4%
Off-Peak,N,13.69,39.63,1.18,7.00,304,99.7%
Off-Peak,S,12.18,40.90,1.22,7.00,296,100.0%
Off-Peak,E,13.14,40.75,1.17,6.00,302,98.7%
Off-Peak,W,13.27,39.68,0.97,5.00,299,99.7%
Unbalanced,N,665.90,1392.25,223.70,446.00,770,63.4%
Unbalanced,S,738.37,1397.21,238.85,443.00,777,63.3%
Unbalanced,E,14.90,40.86,1.32,6.00,353,99.2%
Unbalanced,W,14.72,43.20,1.52,7.00,385,98.7%
Emergency Priority,N,6.90,28.27,1.13,9.00,595,99.5%
Emergency Priority,S,7.11,29.58,1.23,7.00,580,99.7%
Emergency Priority,E,569.29,1275.52,93.22,199.00,384,65.5%
Emergency Priority,W,665.87,1240.91,103.55,199.00,384,64.9%
Night Mode,N,15.81,56.74,0.98,6.00,178,98.9%
Night Mode,S,18.68,54.27,1.17,8.00,173,97.2%
Night Mode,E,15.52,54.44,0.80,5.00,190,100.0%
Night Mode,W,15.61,54.56,0.67,4.00,177,100.0%
Adaptive Timing,N,21.41,65.97,3.82,10.00,611,99.7%
Adaptive Timing,S,19.11,53.80,3.20,12.00,591,98.7%
Adaptive Timing,E,19.15,64.29,2.97,11.00,565,99.5%
Adaptive Timing,W,19.25,56.33,3.22,12.00,574,99.0%
Congestion,N,1232.65,2479.53,816.62,1588.00,779,32.5%
Congestion,S,1208.44,2417.16,780.63,1569.00,779,32.9%
Congestion,E,1243.70,2445.20,788.63,1554.00,765,32.6%
Congestion,W,1240.47,2466.60,835.90,1634.00,765,31.6%
